,index_bug,valid,type,issue,module,commit,parent,testcase,has_test_annotation,description,tag_parent,tag_commit
27,27,True,Regression,TIKA-698,tika-core,4c5599b6694a31e8ce84a1a0d88100827d98490e,04d1fb7cc895e054941280e991ef129cde11ab8b,org.apache.tika.sax.SafeContentHandlerTest#testInvalidCharacters,False,,0.1,0.1
28,28,True,Regression,TIKA-698,tika-core,4c5599b6694a31e8ce84a1a0d88100827d98490e,04d1fb7cc895e054941280e991ef129cde11ab8b,org.apache.tika.sax.SafeContentHandlerTest#testInvalidWhitespace,False,,0.1,0.1
29,29,True,Regression,TIKA-698,tika-core,4c5599b6694a31e8ce84a1a0d88100827d98490e,04d1fb7cc895e054941280e991ef129cde11ab8b,org.apache.tika.sax.SafeContentHandlerTest#testInvalidSurrogates,False,,0.1,0.1
30,30,True,Delta,TIKA-698,tika-core,9c9763a5ac67683553f155a33338bdf98e1a6937,9d5cf328f700e655a38cdf547fc86a273b854b78,org.apache.tika.sax.SafeContentHandlerTest#testInvalidSurrogates,False,,0.1,0.1
31,31,True,Regression,TIKA-704,tika-parsers,e924f82d636a4e8da097822405493a565b039fa2,9cb9439d367c9f35cd34723c73b7ed2f36edeb50,org.apache.tika.parser.microsoft.ooxml.OOXMLContainerExtractionTest#testEmbeddedPDF,False,,0.1,0.1
32,32,True,Delta,TIKA-704,tika-parsers,9cb9439d367c9f35cd34723c73b7ed2f36edeb50,4639ee2e892fba28008003695ba60713aa0c8954,org.apache.tika.parser.microsoft.ooxml.OOXMLContainerExtractionTest#testEmbeddedOutlook,False,,0.1,0.1
33,33,True,Delta,TIKA-704,tika-parsers,9cb9439d367c9f35cd34723c73b7ed2f36edeb50,4639ee2e892fba28008003695ba60713aa0c8954,org.apache.tika.parser.microsoft.ooxml.OOXMLContainerExtractionTest#testEmbeddedPDF,False,,0.1,0.1
34,34,True,Regression,TIKA-711,tika-parsers,af7df6bfaedc6b097a91eda6c789e5ee576401f6,dc2b9a1fad73867e1499fbf03695eec051c536f7,org.apache.tika.TestParsers#testOptionalHyphen,False,,1,1
35,35,True,Regression,TIKA-712,tika-parsers,20ab62de27c7e34d1c09b3cd0a14c0e32e59994b,2ac245fc84207c6d61fd6ca9195d24eb91747fe9,org.apache.tika.parser.microsoft.PowerPointParserTest#testMasterFooter,False,,1.5-rc1,1.5-rc1
36,36,True,Regression,TIKA-712,tika-parsers,20ab62de27c7e34d1c09b3cd0a14c0e32e59994b,2ac245fc84207c6d61fd6ca9195d24eb91747fe9,org.apache.tika.parser.microsoft.PowerPointParserTest#testMasterText,False,,1.5-rc1,1.5-rc1
37,37,True,Regression,TIKA-712,tika-parsers,20ab62de27c7e34d1c09b3cd0a14c0e32e59994b,2ac245fc84207c6d61fd6ca9195d24eb91747fe9,org.apache.tika.parser.microsoft.PowerPointParserTest#testMasterText2,False,,1.5-rc1,1.5-rc1
38,38,True,Delta,TIKA-712,tika-parsers,51a7c9ccacde4f0a40d3f3a0a0c7b2d270d22684,9ec715349810ab8e2d149028679ba6baebeae14b,org.apache.tika.parser.microsoft.PowerPointParserTest#testMasterText,False,,tika-1.3,tika-1.3
39,39,True,Delta,TIKA-712,tika-parsers,51a7c9ccacde4f0a40d3f3a0a0c7b2d270d22684,9ec715349810ab8e2d149028679ba6baebeae14b,org.apache.tika.parser.microsoft.PowerPointParserTest#testMasterText2,False,,tika-1.3,tika-1.3
40,40,True,Regression,TIKA-717,tika-parsers,fdb902bcea910756c9f498b0db9bf3a1870cb2f2,2f7241d842c56bc1a32e20a9f766f9a54eb80949,org.apache.tika.TestParsers#testComment,False,,0.1,0.1
41,41,True,Regression,TIKA-720,tika-parsers,aa944e848894e16adec24eeffe29e11b96ad29a8,b62ce33cb695a7625e9454eb4cd2dd36051d09c5,org.apache.tika.parser.txt.TXTParserTest#testEBCDIC_CP500,False,,0.1,0.1
42,42,True,Delta,TIKA-720,tika-parsers,eb73a4be05f53e33679146810c28e74224f8b359,2bbf5ca691a5b0a1fe9debe9922c2f5af2849609,org.apache.tika.parser.txt.TXTParserTest#testEBCDIC_CP500,False,,0.1,0.1
43,43,True,Regression,TIKA-725,tika-app,39a63cad3ad912f412f75a2dcdca400ab8e37ab6,2052fc98acca935fa065ffdca302bc84cfe60ac9,org.apache.tika.cli.TikaCLITest#testHTMLOutput,False,,tika-1.3,tika-1.3
44,44,True,Delta,TIKA-748,tika-parsers,c256022ce85a05be039e81f152fe895cb4f38b3a,a5cc41a492f7b74d3a4612da9c6e8cac1efe1732,org.apache.tika.parser.rtf.RTFParserTest#testIgnoredControlWord,False,,1,1
45,45,True,Delta,TIKA-777,tika-parsers,2c3dbde39c16161dafc4b5cc03db4e259bf7fb7f,a157a6f025c4b5eda63881124919b4271f85ba0b,org.apache.tika.parser.rtf.RTFParserTest#testFontAfterBufferedText,False,,1.1,1.1
46,46,True,Regression,TIKA-778,tika-parsers,6ef64ddbeff4b23ee25e3d3f51f8a07c49d37c2b,00801cbcc44f7c2e8e8fbc00d8d1b21c687331d3,org.apache.tika.parser.pdf.PDFParserTest#testAnnotations,False,,1.1,1.1
47,47,True,Regression,TIKA-781,tika-parsers,ad78ecd3a85fcfc61b22cb045b3881cc9c170b13,350d1be2ace9a1dbb917288abac97e65552aa591,org.apache.tika.parser.rtf.RTFParserTest#testHyperlink,False,,1.1,1.1
48,48,True,Regression,TIKA-786,tika-parsers,2b39c7599a9930f8847f8839e9612ae5cdc56407,fa077bfba10828d5512ede9db89124d252448898,org.apache.tika.detect.TestContainerAwareDetector#testDetectOLE2,False,,1.1,1.1
49,49,True,Regression,TIKA-786,tika-parsers,2b39c7599a9930f8847f8839e9612ae5cdc56407,fa077bfba10828d5512ede9db89124d252448898,org.apache.tika.detect.TestContainerAwareDetector#testDetectOOXML,False,,1.1,1.1
50,50,True,Regression,TIKA-793,tika-parsers,3bdf69a7d2e119aa722a097d81a99fd63d76be78,554605b284b0c4ac32b8cdda512700d780915a8d,org.apache.tika.parser.mp3.Mp3ParserTest#testMp3ParsingID3v2,False,,1.1,1.1
51,51,True,Regression,TIKA-793,tika-parsers,3bdf69a7d2e119aa722a097d81a99fd63d76be78,554605b284b0c4ac32b8cdda512700d780915a8d,org.apache.tika.parser.mp3.Mp3ParserTest#testMp3ParsingID3i18n,False,,1.1,1.1
